ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
19,D,Ship,0.5,5,0.3048780487804878,0.0,high,M,1.8333333333333333,-0.5151845506930385,1
20,F,Ship,0.0,5,-0.8414634146341463,0.0,medium,M,2.0,-0.9624669054664382,1
21,A,Ship,-0.5,3,-0.6463414634146342,-1.0,medium,F,2.0,-0.8185640865908737,1
22,B,Ship,-0.5,1,0.21951219512195122,1.0,medium,F,2.0,-0.389347453667653,1
23,C,Ship,-1.0,5,-0.7073170731707317,-1.0,low,M,-0.8333333333333334,-0.7472356330789597,1
24,F,Ship,0.0,3,-0.036585365853658534,0.0,high,M,0.8333333333333334,-0.07070549758604579,1
25,D,Ship,0.0,5,0.45121951219512196,-1.0,medium,F,2.0,-0.18314904220526398,1
26,F,Ship,-0.5,1,0.13414634146341464,1.0,low,M,2.0,-0.20339510979598194,1
27,A,Ship,0.0,1,-0.5121951219512195,0.0,high,F,2.0,-0.9602865597258994,1
28,B,Ship,0.5,1,-0.6341463414634146,0.0,medium,M,2.0,-0.8453511914032082,1
29,C,Ship,-1.0,3,0.24390243902439024,1.0,low,M,2.0,-0.3161501323781343,1
30,F,Ship,0.5,4,-0.3780487804878049,-1.0,low,F,2.0,-0.1027877277682604,1
31,D,Ship,-0.5,4,0.6341463414634146,-1.0,medium,F,2.0,-0.43856097181124437,1
32,F,Ship,0.5,3,0.524390243902439,-1.0,low,F,2.0,-0.2516741940507709,1
33,A,Ship,-0.5,1,0.10975609756097561,0.0,low,F,2.0,-0.11026319887867933,1
34,B,Ship,0.0,2,0.24390243902439024,0.0,medium,M,-0.5,-0.2765924310855007,1
35,C,Ship,0.0,2,0.15853658536585366,1.0,medium,F,2.0,-0.5260862793957327,1
36,F,Ship,0.5,4,-0.7926829268292683,0.0,medium,F,2.0,-0.7282354773399782,1
37,D,Ship,-0.5,5,-0.9390243902439024,1.0,high,F,2.0,-0.8322691169599751,1
38,F,Ship,-1.0,4,-0.4024390243902439,2.5,medium,F,1.5,-0.1694440118361626,1
39,A,Ship,0.5,1,0.012195121951219513,1.0,low,F,2.0,-0.07600062295592587,1
40,B,Ship,0.0,2,0.6707317073170732,2.0,low,F,2.0,-0.5500700825416602,1
41,C,Ship,0.5,1,0.15853658536585366,-1.0,low,M,1.3333333333333333,-0.10932876498987697,1
42,F,Ship,0.5,5,-0.9146341463414634,1.0,medium,M,2.0,-0.8983024451020091,1
43,D,Ship,-0.5,5,-0.9390243902439024,-1.0,medium,M,2.0,-0.7793178632611742,1
44,F,Ship,-0.5,1,-0.4878048780487805,-1.0,low,M,2.0,-0.8076623578881794,1
45,A,Ship,-0.5,1,-0.7682926829268293,-1.0,low,M,2.0,-0.8786793334371593,1
46,B,Ship,0.5,1,-0.04878048780487805,0.0,low,F,0.3333333333333333,-0.3753309453356175,1
47,C,Ship,-0.5,4,-0.5487804878048781,1.0,medium,F,2.0,-0.9045320043606915,1
48,F,Ship,0.5,1,-0.6585365853658537,-1.0,low,M,2.0,-0.801432798629497,1
49,D,Ship,0.5,4,-0.2926829268292683,-1.0,medium,M,0.3333333333333333,-0.12334527332191247,1
50,F,Ship,0.5,3,0.024390243902439025,0.0,low,F,2.0,-0.6238903597570472,1
51,A,Ship,0.0,1,-0.3780487804878049,0.0,low,M,2.0,-0.656284067902196,1
52,B,Ship,0.0,4,-0.8902439024390244,0.0,low,M,2.0,-0.7519078025229715,1
53,C,Ship,0.0,3,-0.5975609756097561,0.0,low,F,2.0,-0.8811711571406323,1
54,F,Ship,-1.0,1,-0.5365853658536586,0.0,low,M,2.0,-0.9409749260239838,1
55,D,Ship,0.0,3,-0.13414634146341464,0.0,high,M,0.8333333333333334,-0.19000155738981467,1
56,F,Ship,-1.0,5,0.3902439024390244,2.0,low,M,2.0,-0.5332502725432176,1
57,A,Ship,-0.5,3,0.2926829268292683,0.0,low,F,2.0,-0.3279862949696309,1
58,B,Ship,-0.5,3,-0.25609756097560976,0.0,medium,F,2.0,-0.2167886622021492,1
59,C,Ship,0.5,5,-0.8902439024390244,0.0,high,M,2.0,-0.8665316928827286,1
60,F,Ship,0.0,1,-0.7804878048780488,0.0,high,F,1.6666666666666667,-0.6933499454913565,1
61,D,Ship,-0.5,1,0.08536585365853659,0.0,low,F,2.0,-0.42205263977573587,1
62,F,Ship,-0.5,3,-0.4268292682926829,0.0,medium,M,2.0,-0.9316305871359601,1
63,A,Ship,0.5,1,-1.329268292682927,2.5,medium,M,2.0,-0.8898925401027877,1
64,B,Ship,-0.5,1,-0.45121951219512196,0.0,medium,M,2.0,-0.7067434978975238,1
65,C,Ship,0.0,5,0.573170731707317,-1.0,high,M,2.0,-0.34387167107927114,1
66,F,Ship,-0.5,2,-0.14634146341463414,0.0,low,M,2.0,-0.3949540570004672,1
67,D,Ship,-0.5,2,-1.2804878048780488,0.0,medium,F,1.3333333333333333,-0.7596947515963246,1
68,F,Ship,-0.5,3,-0.6829268292682927,0.0,low,F,-0.16666666666666666,-0.707366453823392,1
69,A,Ship,0.0,2,0.2073170731707317,1.0,medium,F,-0.16666666666666666,-0.5098894253231584,1
70,B,Ship,-0.5,5,-0.0975609756097561,0.0,medium,M,2.0,-0.38000311477962934,1
71,C,Ship,0.5,1,-0.32926829268292684,1.0,high,M,1.1666666666666667,-0.09344338888023672,1
72,F,Ship,0.5,5,0.1951219512195122,-1.0,low,F,-0.8333333333333334,-0.598037688833515,1
73,D,Ship,0.5,5,0.21951219512195122,0.0,medium,F,2.0,-0.3585111353371749,1
74,F,Ship,0.0,5,0.012195121951219513,0.0,medium,F,2.0,-0.0513938638841302,1
75,A,Ship,1.0,1,0.2926829268292683,2.5,low,F,1.0,-0.531692882728547,1
76,B,Ship,0.0,1,0.6341463414634146,0.0,low,F,2.0,-0.11649275813736178,1
77,C,Ship,-1.0,3,-0.6829268292682927,-1.0,medium,F,2.0,-0.735399470487463,1
78,F,Ship,-0.5,3,-1.2317073170731707,0.0,low,F,2.0,-0.8194985204796761,1
79,D,Ship,-0.5,4,0.10975609756097561,0.0,low,M,1.8333333333333333,-0.05918081295748326,1
80,F,Ship,-0.5,5,0.524390243902439,-1.0,medium,F,2.0,-0.13642734776514562,1
81,A,Ship,-0.5,4,-0.4146341463414634,-1.0,medium,F,2.0,-0.6874318641956082,1
82,B,Ship,-1.0,5,-1.0,0.0,low,M,1.8333333333333333,-0.7444323314125526,1
83,C,Ship,0.0,4,0.036585365853658534,0.0,high,F,2.0,-0.39682292477807196,1
84,F,Ship,0.5,5,-0.6341463414634146,0.0,high,F,2.0,-0.8674661267715309,1
85,D,Ship,0.0,5,-0.2073170731707317,-1.0,medium,F,2.0,-0.44821678866220216,1
86,F,Ship,-0.5,4,-0.2073170731707317,0.0,medium,M,1.0,-0.623267403831179,1
87,A,Ship,0.0,1,-0.35365853658536583,-1.0,low,M,2.0,-0.38592119607537767,1
88,B,Ship,1.0,2,0.7804878048780488,0.0,medium,F,-0.6666666666666666,-0.36598660644759384,1
89,C,Ship,-0.5,3,0.18292682926829268,0.0,low,M,2.0,-0.5637751129107615,1
90,F,Ship,0.0,1,-0.34146341463414637,1.0,medium,F,2.0,-0.08378757202927893,1
91,D,Ship,0.5,3,-0.4878048780487805,2.5,high,F,2.0,-0.954368478430151,1
92,F,Ship,0.5,5,0.8780487804878049,0.0,low,F,1.8333333333333333,-0.3071172714530447,1
93,A,Ship,0.0,4,-0.47560975609756095,-1.0,medium,F,0.0,-0.9222862482479365,1
94,B,Ship,-0.5,3,0.06097560975609756,0.0,medium,F,1.6666666666666667,-0.2373462077558013,1
95,C,Ship,0.0,1,-0.012195121951219513,1.0,high,F,2.0,-0.562529201059025,1
96,F,Ship,-1.0,3,0.25609756097560976,0.0,low,M,2.0,-0.6587758916056689,1
97,D,Ship,-0.5,3,-0.7926829268292683,-1.0,medium,M,1.8333333333333333,-0.9107615636193739,1
98,F,Ship,0.0,1,0.6951219512195121,-1.0,medium,F,0.16666666666666666,-0.544463479208846,1
99,A,Ship,-0.5,5,-0.8536585365853658,1.0,medium,M,-0.3333333333333333,-0.9484503971344027,1
100,B,Ship,0.0,2,-0.8414634146341463,-1.0,medium,M,2.0,-0.7886622021491979,1
101,C,Ship,0.5,3,-0.8658536585365854,-1.0,medium,M,2.0,-0.720137050303691,1
102,F,Ship,0.5,5,0.15853658536585366,1.0,low,M,2.0,-0.4750038934745367,1
103,D,Ship,-1.0,1,-0.012195121951219513,0.0,low,M,2.0,-0.44136427347765145,1
104,F,Ship,0.5,1,-0.8536585365853658,1.0,low,M,2.0,-0.7758916056688989,1
105,A,Ship,-0.5,3,0.04878048780487805,0.0,low,M,-0.6666666666666666,-0.5899392617972279,1
106,B,Ship,0.0,2,-0.8536585365853658,0.0,medium,M,2.0,-0.7976950630742875,1
107,C,Ship,-0.5,1,0.2926829268292683,0.0,low,M,1.6666666666666667,-0.4750038934745367,1
108,F,Ship,0.0,5,0.024390243902439025,0.0,high,M,2.0,-0.6528578103099206,1
109,D,Ship,0.0,5,0.2926829268292683,0.0,high,F,2.0,-0.2778383429372372,1
110,F,Ship,0.0,1,-0.8902439024390244,0.0,medium,M,2.0,-0.9029746145460209,1
111,A,Road,-0.5,1,-0.6829268292682927,-1.0,low,M,-0.8333333333333334,-0.8923843638062607,1
112,B,Road,0.0,2,0.3048780487804878,0.0,low,F,2.0,-0.14639464257903753,1
113,C,Road,0.0,3,-0.47560975609756095,-1.0,low,M,2.0,-0.7266780875253076,1
114,F,Road,-0.5,2,0.5975609756097561,0.0,low,M,2.0,-0.41488864662825103,1
115,D,Road,-0.5,5,-0.5609756097560976,-1.0,high,M,2.0,-0.7889736801121321,1
116,F,Road,-0.5,4,-0.4634146341463415,0.0,high,M,2.0,-0.7382027721538701,1
117,A,Road,0.0,1,-0.7804878048780488,1.0,high,M,2.0,-0.9733686341691326,1
118,B,Road,0.0,3,0.6219512195121951,-1.0,medium,F,2.0,-0.5678243264289051,1
119,C,Road,-1.0,5,0.5975609756097561,0.0,low,F,-0.3333333333333333,-0.37439651144681513,1
120,F,Road,0.5,1,-0.8414634146341463,0.0,low,M,2.0,-0.8603021336240461,1
121,D,Road,0.0,2,-0.3780487804878049,0.0,low,F,2.0,-0.43856097181124437,1
122,F,Road,-0.5,3,-0.10975609756097561,0.0,medium,F,2.0,-0.6173493225354306,1
123,A,Road,0.0,2,-0.6585365853658537,0.0,low,M,2.0,-0.7584488397445881,1
124,B,Road,-0.5,3,0.4634146341463415,-1.0,medium,F,2.0,-0.6375953901261485,1
125,C,Road,0.5,5,0.0975609756097561,0.0,low,M,0.5,-0.5821523127238748,1
126,F,Road,-0.5,3,-0.13414634146341464,-1.0,low,M,2.0,-0.16882105591029434,1
127,D,Road,0.0,5,0.07317073170731707,0.0,medium,M,2.0,-0.19716555053729948,1
128,F,Road,-0.5,3,-0.8170731707317073,1.0,low,F,2.0,-0.7559570160411151,1
129,A,Road,0.0,4,-0.17073170731707318,1.0,medium,M,1.5,-0.6506774645693817,1
130,B,Road,0.0,5,0.12195121951219512,1.0,medium,M,2.0,-0.6612677153091419,1
131,C,Road,-0.5,5,-0.4268292682926829,-1.0,low,F,1.6666666666666667,-0.8674661267715309,1
132,F,Road,-0.5,4,-0.8536585365853658,0.0,low,M,2.0,-0.7114156673415356,1
133,D,Flight,0.5,2,0.4024390243902439,0.0,low,M,1.6666666666666667,-0.08098427036287183,1
134,F,Flight,0.5,4,0.8048780487804879,2.5,medium,F,2.0,-0.1766080049836474,1
135,A,Flight,-0.5,3,-0.5609756097560976,-1.0,medium,F,-1.0,-0.722628874007164,1
136,B,Flight,-0.5,5,-0.6951219512195121,0.0,medium,F,-0.5,-0.7039401962311167,1
137,C,Flight,-0.5,3,-0.3048780487804878,1.0,medium,F,2.0,-0.6045787260551316,1
138,F,Flight,-0.5,5,-0.6341463414634146,-1.0,medium,M,0.0,-0.750661890671235,1
139,D,Flight,0.0,1,-0.08536585365853659,2.0,low,M,2.0,-0.5450864351347142,1
140,F,Flight,0.5,1,0.2804878048780488,-1.0,low,F,0.5,-0.09001713128796138,1
141,A,Flight,0.0,4,0.6097560975609756,0.0,high,M,2.0,-0.6631365830867466,1
142,B,Flight,0.5,4,-0.7926829268292683,0.0,low,M,2.0,-0.7799408191870425,1
143,C,Flight,0.5,5,-0.6341463414634146,0.0,low,M,2.0,-0.8369412864039869,1
144,F,Flight,-1.0,1,-0.10975609756097561,1.0,medium,F,2.0,-0.620775580127706,1
145,D,Flight,-1.0,1,-0.6829268292682927,0.0,medium,F,2.0,-0.8126460052951253,1
146,F,Flight,-1.0,2,0.4146341463414634,-1.0,low,M,2.0,-0.1376732596168821,1
147,A,Flight,-0.5,5,-0.2804878048780488,0.0,low,M,2.0,-0.12427970721071484,1
148,B,Flight,0.0,3,-0.8292682926829268,1.0,medium,F,2.0,-0.7179567045631522,1
149,C,Flight,-0.5,3,-0.9634146341463414,0.0,low,M,2.0,-0.8282199034418315,1
150,F,Flight,0.5,1,-0.7926829268292683,0.0,low,M,2.0,-0.9615324715776359,1
151,D,Flight,0.0,4,0.07317073170731707,-1.0,medium,F,0.0,-0.4977417847687276,1
152,F,Flight,0.5,3,-1.4146341463414633,2.0,medium,M,2.0,-0.8970565332502726,1
153,A,Flight,-0.5,4,-1.4268292682926829,1.0,low,M,2.0,-0.9067123501012303,1
154,B,Flight,-0.5,3,-0.3780487804878049,-1.0,low,M,2.0,-0.06759071795670456,1
155,C,Ship,-0.5,3,-0.6341463414634146,0.0,medium,F,0.16666666666666666,-0.7101697554897991,1
156,F,Ship,0.5,1,-1.2195121951219512,1.0,low,F,2.0,-0.8428593676997352,1
157,D,Ship,1.0,3,0.7439024390243902,2.0,low,M,2.0,-0.516430462544775,1
158,F,Ship,-0.5,2,-0.13414634146341464,-1.0,medium,F,2.0,-0.09468930073197321,1
159,A,Ship,0.5,5,-0.10975609756097561,-1.0,high,M,2.0,-0.1488864662825105,1
160,B,Ship,-0.5,3,-0.7926829268292683,0.0,low,F,2.0,-0.6861859523438717,1
161,C,Ship,-1.0,2,-1.2439024390243902,1.0,medium,M,2.0,-0.9378601463946425,1
162,F,Ship,-0.5,1,-0.08536585365853659,0.0,medium,F,2.0,-0.20775580127705964,1
163,D,Ship,0.0,1,0.573170731707317,1.0,low,F,2.0,-0.2248870892384364,1
164,F,Ship,0.5,2,0.7317073170731707,0.0,medium,M,-0.16666666666666666,-0.24108394331101074,1
165,A,Ship,-0.5,5,-0.8902439024390244,-1.0,low,M,2.0,-0.7653013549291388,1
166,B,Ship,-0.5,3,-0.5853658536585366,1.0,medium,F,1.6666666666666667,-0.8257280797383585,1
167,C,Ship,0.5,2,-0.8902439024390244,0.0,high,F,2.0,-0.974614546020869,1
168,F,Ship,0.0,5,-0.7560975609756098,0.0,low,M,2.0,-0.7600062295592587,1
169,D,Ship,0.0,2,0.43902439024390244,0.0,low,F,2.0,-0.5204796760629186,1
170,F,Ship,0.0,3,-0.6463414634146342,0.0,medium,F,2.0,-0.7288584332658464,1
171,A,Ship,0.0,3,-0.35365853658536583,0.0,medium,F,0.5,-0.5874474380937549,1
172,B,Ship,0.0,4,-0.4634146341463415,1.0,high,F,2.0,-0.9509422208378757,1
173,C,Ship,-0.5,4,-0.8048780487804879,0.0,low,M,2.0,-0.8095312256657842,1
174,F,Ship,-0.5,2,0.6829268292682927,0.0,low,F,2.0,-0.4354461921819031,1
175,D,Ship,-0.5,3,0.34146341463414637,0.0,low,F,2.0,-0.0666562840679022,1
176,F,Ship,0.0,4,-0.7804878048780488,-1.0,medium,M,-0.6666666666666666,-0.8920728858433266,1
177,A,Ship,0.0,5,-0.2682926829268293,0.0,high,M,2.0,-0.08627939573275191,1
178,B,Ship,0.0,5,-1.1951219512195121,0.0,medium,M,2.0,-0.8830400249182371,1
179,C,Ship,-0.5,3,-0.2682926829268293,0.0,medium,F,-0.8333333333333334,-0.04796760629185485,1
180,F,Ship,0.5,5,0.5,1.0,medium,M,-0.6666666666666666,-0.2208378757202928,1
181,D,Ship,0.0,1,-0.6463414634146342,2.5,medium,F,1.8333333333333333,-0.8892695841769195,1
182,F,Ship,0.0,5,-0.6951219512195121,0.0,low,M,2.0,-0.8291543373306338,1
183,A,Ship,-0.5,2,-0.6097560975609756,2.5,high,F,2.0,-0.6880548201214765,1
184,B,Ship,-0.5,5,-0.6341463414634146,2.5,medium,F,1.5,-0.9646472512069771,1
185,C,Ship,-0.5,3,-0.8292682926829268,-1.0,low,M,2.0,-0.829465815293568,1
186,F,Ship,-0.5,2,-0.06097560975609756,0.0,medium,M,2.0,-0.3575767014483725,1
187,D,Ship,0.5,4,-0.975609756097561,-1.0,medium,F,2.0,-0.8606136115869802,1
188,F,Ship,-1.0,1,0.0975609756097561,-1.0,medium,M,-0.3333333333333333,-0.11555832424855941,1
189,A,Ship,-1.0,5,-0.9146341463414634,0.0,low,F,2.0,-0.908269739915901,1
190,B,Ship,-1.0,4,-0.975609756097561,0.0,low,F,2.0,-0.8515807506618907,1
191,C,Ship,-1.0,5,-1.024390243902439,0.0,low,M,1.5,-0.9521881326896122,1
192,F,Ship,-1.0,5,-0.9878048780487805,0.0,low,F,2.0,-0.7952032393708145,1
193,D,Ship,-1.0,4,-0.9024390243902439,0.0,low,F,0.0,-0.8528266625136272,1
194,F,Ship,-1.0,2,-0.6829268292682927,0.0,low,M,2.0,-0.6793334371593209,1
195,A,Ship,0.0,2,0.6829268292682927,1.0,low,F,2.0,-0.7515963245600373,1
196,B,Ship,-1.0,5,-0.9024390243902439,0.0,low,F,2.0,-0.9714997663915278,1
197,C,Ship,-1.0,2,-0.9634146341463414,0.0,low,M,1.3333333333333333,-0.875253075844884,1
198,F,Ship,-1.0,3,-0.9512195121951219,0.0,low,F,2.0,-0.8039246223329699,1
199,D,Ship,-1.0,3,-0.8780487804878049,0.0,medium,F,2.0,1.0873695686030214,1
200,F,Ship,-1.0,2,-0.7317073170731707,0.0,medium,M,2.0,1.1515340289674505,1
201,A,Ship,-1.0,3,-0.9146341463414634,0.0,low,M,0.3333333333333333,-0.8341379847375798,1
202,B,Ship,-1.0,3,-0.6585365853658537,0.0,low,F,2.0,-0.9026631365830867,1
203,C,Ship,-1.0,4,-0.975609756097561,0.0,low,M,2.0,-0.9599750817629653,1
204,F,Ship,0.5,3,-0.6463414634146342,2.0,high,M,2.0,-0.7058090640087213,1
205,D,Ship,-1.0,5,-0.7195121951219512,0.0,low,M,2.0,-0.7933343715932097,1
206,F,Ship,-1.0,3,-0.8414634146341463,0.0,medium,F,2.0,1.071172714530447,1
207,A,Ship,-1.0,2,-0.6951219512195121,0.0,low,M,-1.0,-0.8322691169599751,1
208,B,Ship,-1.0,2,-0.6585365853658537,0.0,low,M,2.0,-0.7656128328920729,1
209,C,Ship,-1.0,4,-0.7560975609756098,0.0,low,M,2.0,-0.8257280797383585,1
210,F,Ship,-1.0,5,-0.8048780487804879,0.0,high,F,0.6666666666666666,-0.824482167886622,1
211,D,Ship,-1.0,1,-1.0609756097560976,0.0,low,F,1.3333333333333333,-0.8182526086279396,1
212,F,Ship,-1.0,5,-0.7317073170731707,0.0,low,F,2.0,-0.9456470954679956,1
213,A,Ship,-1.0,5,-1.0609756097560976,0.0,low,M,2.0,-0.8746301199190157,1
214,B,Ship,-1.0,5,-0.6585365853658537,0.0,medium,F,2.0,1.0129263354617661,1
215,C,Ship,-1.0,4,-1.0365853658536586,0.0,low,F,2.0,-0.9126304313969786,1
216,F,Ship,-1.0,5,-0.6829268292682927,0.0,low,F,2.0,-0.7559570160411151,1
217,D,Ship,0.0,3,-0.35365853658536583,0.0,medium,M,-0.6666666666666666,-0.3170845662669366,1
218,F,Ship,0.0,4,-0.4634146341463415,1.0,high,F,2.0,-0.8895810621398536,1
219,A,Ship,-0.5,4,-0.8048780487804879,0.0,low,M,2.0,-0.8179411306650054,1
220,B,Ship,-0.5,5,0.6829268292682927,0.0,low,M,2.0,-0.08223018221460832,1
221,C,Ship,-0.5,4,0.34146341463414637,0.0,low,M,2.0,-0.5506930384675284,1
222,F,Ship,0.0,3,-0.7804878048780488,-1.0,medium,M,2.0,-0.7976950630742875,1
223,D,Ship,0.0,2,-0.2682926829268293,0.0,high,M,-0.5,-0.6503659866064476,1
224,F,Ship,0.0,5,-1.1951219512195121,0.0,medium,F,0.3333333333333333,-0.8830400249182371,1
225,A,Ship,-0.5,4,-0.2682926829268293,0.0,medium,F,2.0,-0.2547889736801121,1
226,B,Ship,0.5,4,0.5,1.0,medium,F,2.0,-0.4292166329232207,1
227,C,Ship,0.0,3,-0.6463414634146342,2.5,medium,M,2.0,-0.8263510356642267,1
228,F,Ship,0.0,2,-0.6951219512195121,0.0,low,F,2.0,-0.8584332658464414,1
229,D,Ship,-0.5,2,-0.6097560975609756,2.5,high,M,1.1666666666666667,-0.8640398691792556,1
230,F,Ship,-0.5,3,-0.6341463414634146,2.5,medium,F,2.0,-0.8942532315838655,1
231,A,Ship,-0.5,1,-0.8292682926829268,-1.0,low,F,2.0,-0.8163837408503348,1
232,B,Ship,-0.5,4,-0.06097560975609756,0.0,medium,F,2.0,-0.5946114312412397,1
233,C,Ship,0.5,5,-0.975609756097561,-1.0,medium,M,2.0,-0.9534340445413487,1
234,F,Ship,-1.0,1,0.0975609756097561,-1.0,medium,M,2.0,-0.16290297461454603,1
235,D,Ship,-1.0,1,-0.9146341463414634,0.0,low,F,2.0,-0.7995639308518923,1
236,F,Ship,-1.0,2,-0.975609756097561,0.0,low,M,2.0,-0.8712038623267404,1
237,A,Ship,-1.0,3,-1.024390243902439,0.0,low,F,2.0,-0.7313502569693194,1
238,B,Ship,-1.0,2,-0.9878048780487805,0.0,low,M,-0.3333333333333333,-0.8973680112132066,1
239,C,Ship,-1.0,3,-0.9024390243902439,0.0,low,F,2.0,-0.8649743030680579,1
240,F,Ship,-1.0,3,-0.6829268292682927,0.0,low,M,0.5,-0.8204329543684784,1
241,D,Ship,0.0,5,0.6829268292682927,1.0,low,M,2.0,-0.7260551315994394,1
242,F,Ship,-1.0,4,-0.9024390243902439,0.0,low,F,2.0,-0.8942532315838655,1
243,A,Ship,-1.0,2,-0.9634146341463414,0.0,low,M,2.0,-0.7522192804859056,1
244,B,Ship,-1.0,4,-0.9512195121951219,0.0,low,M,2.0,-0.6824482167886622,1
245,C,Ship,-1.0,1,-0.8780487804878049,0.0,medium,F,0.16666666666666666,0.5964802990188444,1
246,F,Ship,-1.0,4,-0.7317073170731707,0.0,medium,F,2.0,1.1010745989721227,1
247,D,Ship,-1.0,3,-0.9146341463414634,0.0,low,F,-0.6666666666666666,-0.735399470487463,1
248,F,Road,-1.0,4,-0.6585365853658537,0.0,low,F,2.0,-0.9714997663915278,1
249,A,Road,-1.0,2,-0.975609756097561,0.0,low,F,2.0,-0.8157607849244666,1
250,B,Road,0.5,5,-0.6463414634146342,2.0,high,F,2.0,-0.8216788662202149,1
251,C,Road,-1.0,3,-0.7195121951219512,0.0,low,F,2.0,-0.7818096869646473,1
252,F,Road,-1.0,2,-0.8414634146341463,0.0,medium,F,-0.3333333333333333,0.608316461610341,1
253,D,Road,-1.0,1,-0.6951219512195121,0.0,low,M,2.0,-0.6911695997508176,1
254,F,Road,-1.0,5,-0.6585365853658537,0.0,low,F,2.0,-0.8565643980688367,1
255,A,Road,-1.0,2,-0.7560975609756098,0.0,low,F,2.0,-0.7316617349322535,1
256,B,Road,-1.0,2,-0.8048780487804879,0.0,high,F,2.0,-0.8721382962155427,1
257,C,Road,-1.0,2,-1.0609756097560976,0.0,low,M,1.0,-0.9409749260239838,1
258,F,Road,-1.0,2,-1.0365853658536586,0.0,medium,F,2.0,0.7677931786326118,1
259,D,Road,-1.0,3,-0.6829268292682927,0.0,low,F,1.0,-0.9045320043606915,1
260,F,Road,-1.0,4,-0.8170731707317073,0.0,low,M,-0.3333333333333333,-0.6942843793801589,1
261,A,Road,-1.0,5,-0.6707317073170732,0.0,low,F,2.0,-0.7874162902974614,1
262,B,Road,-1.0,3,-0.7682926829268293,0.0,low,F,2.0,-0.6911695997508176,1
263,C,Road,-0.5,1,0.975609756097561,1.0,low,F,2.0,-0.9531225665784145,1
264,F,Road,-0.5,2,0.14634146341463414,-1.0,medium,M,2.0,-0.8419249338109329,1
265,D,Road,0.5,3,0.6951219512195121,2.0,high,M,0.3333333333333333,-0.7276125214141099,1
266,F,Road,1.5,2,-0.13414634146341464,2.0,medium,F,2.0,-0.7142189690079427,1
267,A,Road,-1.0,3,0.6097560975609756,1.0,low,F,0.5,-0.7790063852982402,1
268,B,Road,0.0,1,0.5365853658536586,0.0,medium,M,2.0,-0.6036442921663292,1
269,C,Road,-0.5,5,0.32926829268292684,0.0,low,F,2.0,-0.3335928983024451,1
270,F,Flight,0.0,5,-0.07317073170731707,0.0,medium,M,2.0,-0.6519233764211182,1
271,D,Flight,-0.5,2,-0.06097560975609756,2.0,medium,F,0.8333333333333334,-0.34106836941286406,1
272,F,Flight,0.5,1,-0.3902439024390244,-1.0,medium,F,2.0,-0.44915122255100454,1
273,A,Flight,0.0,5,-0.8048780487804879,-1.0,medium,F,2.0,-0.9537455225042828,1
274,B,Flight,-1.0,3,-0.3780487804878049,-1.0,medium,F,2.0,-0.29590406478741627,1
275,C,Flight,-0.5,5,0.18292682926829268,2.5,medium,M,2.0,-0.4460364429216633,1
276,F,Flight,0.5,5,-1.2073170731707317,2.0,low,F,2.0,-0.7653013549291388,1
277,D,Flight,0.0,2,-0.9512195121951219,0.0,low,F,2.0,-0.6812023049369257,1
278,F,Flight,0.0,4,-0.024390243902439025,0.0,low,M,2.0,-0.26226444479053107,1
